,0
284,-8.5469524e-05
285,-8.54474e-05
286,-8.5425265e-05
287,-8.540387e-05
288,-8.538248e-05
289,-8.536257e-05
290,-8.534192e-05
291,-5.565248e-05
292,-7.309173e-05
293,-7.421659e-05
294,-7.636449e-05
295,-7.727028e-05
296,-7.80632e-05
297,-7.861125e-05
298,-7.905824e-05
299,-7.941672e-05
300,-7.971397e-05
301,-7.996624e-05
302,-8.018383e-05
303,-8.0371916e-05
304,-8.053641e-05
305,-8.068392e-05
306,-8.081448e-05
307,-8.0933976e-05
308,-8.1039456e-05
309,-8.113608e-05
310,-8.122459e-05
311,-8.130647e-05
312,-8.137949e-05
313,-8.1451035e-05
314,-8.151373e-05
315,-8.1573475e-05
316,-8.16288e-05
317,-8.16797e-05
318,-8.1729115e-05
319,-8.177411e-05
320,-8.1816885e-05
321,-8.185672e-05
322,-8.189434e-05
323,-8.193048e-05
324,-8.196441e-05
325,-8.199539e-05
326,-8.202711e-05
327,-8.205587e-05
328,-8.208317e-05
329,-8.211046e-05
330,-8.21348e-05
331,-8.215767e-05
332,-8.218053e-05
333,-8.220266e-05
334,-8.222331e-05
335,-8.224249e-05
336,-0.000111933405
337,-9.4493415e-05
338,-9.336635e-05
339,-9.121769e-05
340,-9.031118e-05
341,-8.95153e-05
342,-8.896504e-05
343,-8.85151e-05
344,-8.815662e-05
345,-8.785421e-05
346,-8.760121e-05
347,-8.73814e-05
348,-8.718814e-05
349,-8.702145e-05
350,-8.687024e-05
351,-8.6736734e-05
352,-8.6615764e-05
353,-8.6504384e-05
354,-8.640555e-05
355,-8.6312604e-05
356,-8.622778e-05
357,-8.614886e-05
358,-8.607584e-05
359,-8.600872e-05
360,-8.594454e-05
361,-8.5885535e-05
362,-8.582948e-05
363,-8.577711e-05
364,-8.572768e-05
365,-8.568121e-05
366,-8.56377e-05
367,-8.559492e-05
368,-8.5555825e-05
369,-8.551673e-05
370,-8.54828e-05
371,-8.54474e-05
372,-8.5414205e-05
373,-8.5383224e-05
374,-8.5352985e-05
375,-8.532421e-05
376,-8.529619e-05
377,-8.526963e-05
378,-8.5243075e-05
379,-5.5547003e-05
380,-7.298183e-05
381,-7.4104464e-05
382,-7.6246484e-05
383,-7.714858e-05
384,-7.793855e-05
385,-7.84829e-05
386,-7.892768e-05
387,-7.928247e-05
388,-7.9579724e-05
389,-7.9829035e-05
390,-8.004368e-05
391,-8.0231766e-05
392,-8.0395526e-05
393,-8.0540834e-05
394,-8.067065e-05
395,-8.078719e-05
396,-8.0893406e-05
397,-8.099077e-05
398,-8.107707e-05
399,-8.1158214e-05
400,-8.123344e-05
401,-8.13013e-05
402,-8.136548e-05
403,-8.142522e-05
404,-8.148054e-05
405,-8.153144e-05
406,-5.190986e-05
407,-6.941328e-05
408,-0.00010027256
409,-8.502032e-05
410,-8.4836654e-05
411,-8.351707e-05
412,-8.319474e-05
413,-8.288052e-05
414,-8.27212e-05
415,-8.260097e-05
416,-8.252204e-05
417,-8.2467464e-05
418,-8.242836e-05
419,-8.240181e-05
420,-8.23819e-05
421,-8.23701e-05
422,-8.236272e-05
423,-8.2357554e-05
424,-8.235608e-05
425,-8.2357554e-05
426,-8.235977e-05
427,-8.236272e-05
428,-8.236714e-05
429,-8.237157e-05
430,-8.237969e-05
431,-8.238485e-05
432,-8.2390754e-05
433,-8.23996e-05
434,-8.2406244e-05
435,-8.241287e-05
436,-8.242099e-05
437,-0.00011209936
438,-9.464905e-05
439,-9.351239e-05
440,-9.135415e-05
441,-9.043804e-05
442,-8.963627e-05
443,-8.9077905e-05
444,-8.8621324e-05
445,-8.825547e-05
446,-8.794715e-05
447,-8.768603e-05
448,-8.7461805e-05
449,-8.7265595e-05
450,-8.7091525e-05
451,-8.693736e-05
452,-8.6797954e-05
453,-8.667256e-05
454,-8.655823e-05
455,-8.645349e-05
456,-8.6359076e-05
457,-8.627057e-05
458,-8.618869e-05
459,-8.611272e-05
460,-8.6042644e-05
461,-8.5977736e-05
462,-8.59143e-05
463,-8.5856766e-05
464,-8.580366e-05
465,-8.575055e-05
466,-8.570408e-05
467,-8.565614e-05
468,-8.561262e-05
469,-8.557205e-05
470,-8.553148e-05
471,-8.54946e-05
472,-8.545772e-05
473,-8.542453e-05
474,-8.539207e-05
475,-8.5359614e-05
476,-8.533012e-05
477,-8.530135e-05
478,-8.5274056e-05
479,-8.5247506e-05
480,-8.522095e-05
481,-8.519587e-05
482,-5.5502744e-05
483,-7.293683e-05
484,-7.405948e-05
485,-7.620296e-05
486,-7.710579e-05
487,-7.789577e-05
488,-7.84416e-05
489,-7.888785e-05
490,-7.924338e-05
491,-7.9539896e-05
492,-7.979142e-05
493,-8.0006066e-05
494,-8.019416e-05
495,-8.03579e-05
496,-8.050395e-05
497,-8.063525e-05
498,-8.0751044e-05
499,-8.085801e-05
500,-8.0954625e-05
501,-8.10424e-05
502,-8.112354e-05
503,-8.119952e-05
504,-8.126811e-05
505,-8.133302e-05
506,-8.139276e-05
507,-8.144809e-05
508,-8.150046e-05
509,-8.154988e-05
510,-8.159561e-05
511,-8.163839e-05
512,-8.168117e-05
513,-8.171731e-05
514,-8.175493e-05
515,-8.17896e-05
516,-8.182353e-05
517,-8.185377e-05
518,-8.188401e-05
519,-8.191278e-05
520,-8.1940074e-05
521,-8.196589e-05
522,-8.199023e-05
523,-8.2014565e-05
524,-8.20367e-05
525,-8.205957e-05
526,-0.00011175047
527,-9.43127e-05
528,-9.3187846e-05
529,-9.1040674e-05
530,-9.0135625e-05
531,-8.93427e-05
532,-8.879465e-05
533,-8.834693e-05
534,-8.798919e-05
535,-8.769045e-05
536,-8.743599e-05
537,-8.721912e-05
538,-8.702956e-05
539,-8.686139e-05
540,-8.671534e-05
541,-8.65811e-05
542,-8.646161e-05
543,-8.635391e-05
544,-8.625434e-05
545,-8.616435e-05
546,-8.6080996e-05
547,-8.600355e-05
548,-8.5932006e-05
549,-8.586562e-05
550,-8.58044e-05
551,-8.574613e-05
552,-8.569228e-05
553,-8.564138e-05
554,-8.55927e-05
555,-8.554771e-05
556,-8.550492e-05
557,-8.546436e-05
558,-8.542601e-05
559,-8.5389125e-05
560,-8.535519e-05
561,-8.532126e-05
562,-8.528955e-05
563,-8.526004e-05
564,-8.5232015e-05
565,-8.5203246e-05
566,-8.517743e-05
567,-8.5151616e-05
568,-8.512727e-05
569,-8.510367e-05
570,-8.508154e-05
571,-8.505941e-05
572,-8.503876e-05
573,-8.50181e-05
574,-8.499893e-05
575,-8.497975e-05
576,-8.496278e-05
577,-8.4944346e-05
578,-8.492812e-05
579,-8.4909676e-05
580,-8.489566e-05
581,-8.4878695e-05
582,-8.486468e-05
583,-8.484993e-05
584,-8.483592e-05
585,-8.4821164e-05
586,-8.480789e-05
587,-8.4794614e-05
588,-8.478281e-05
589,-8.477027e-05
590,-8.4758474e-05
591,-8.474593e-05
592,-8.4734864e-05
593,-8.47238e-05
594,-8.471274e-05
595,-5.503068e-05
596,-7.247878e-05
597,-7.3613955e-05
598,-7.576851e-05
599,-7.668314e-05
600,-7.748345e-05
601,-7.803961e-05
602,-7.849471e-05
603,-7.8859084e-05
604,-7.916445e-05
605,-7.942409e-05
606,-7.964759e-05
607,-7.984379e-05
608,-8.0015656e-05
609,-0.00010983933
610,-9.2518836e-05
611,-9.15002e-05
612,-8.94467e-05
613,-8.862795e-05
614,-8.7911e-05
615,-8.7433036e-05
616,-8.7048735e-05
617,-8.6750006e-05
618,-8.650586e-05
619,-8.630228e-05
620,-8.613189e-05
621,-8.598658e-05
622,-8.585898e-05
623,-8.574834e-05
624,-8.5651714e-05
625,-8.556467e-05
626,-8.548723e-05
627,-8.541789e-05
628,-8.535519e-05
629,-8.529766e-05
630,-8.524603e-05
631,-8.5197345e-05
632,-8.5153086e-05
633,-8.511252e-05
634,-8.50749e-05
635,-8.503949e-05
636,-8.500705e-05
637,-8.497533e-05
638,-8.49473e-05
639,-8.492e-05
640,-8.4894185e-05
641,-8.486985e-05
642,-8.484625e-05
643,-8.482633e-05
644,-8.480494e-05
645,-0.00011445676
646,-9.698136e-05
647,-9.581889e-05
648,-9.363558e-05
649,-9.269734e-05
650,-9.1870475e-05
651,-9.1291455e-05
652,-9.0812755e-05
653,-9.042624e-05
654,-6.0427014e-05
655,-7.760515e-05
656,-7.850577e-05
657,-8.0456004e-05
658,-8.118771e-05
659,-8.182575e-05
660,-8.2235114e-05
