,0
0,5584403.393419415
1,5586910.742931551
2,5613322.499035206
3,5583054.606532935
4,5647802.593714201
5,5722870.344011527
6,5881958.806635801
7,5881958.806635801
8,5881958.806635801
9,5881958.806635801
10,5881958.806635801
11,5881958.806635801
12,5881958.806635801
13,5881958.806635801
14,5881958.806635801
15,5881958.806635801
16,5881958.806635801
17,5881958.806635801
18,5881958.806635801
19,5881958.806635801
20,5881958.806635801
21,5881958.806635801
22,5881958.806635801
23,5881958.806635801
24,5881958.806635801
25,5881958.806635801
26,5816985.476477091
27,5908572.7859714
28,5927141.367093091
29,5927141.367093091
30,5927141.367093091
31,5860595.135476237
32,5725055.904679441
33,5876524.255362779
34,5826014.993989985
35,5856537.019701753
36,5915125.60060611
37,5996776.462725409
38,6156955.031834597
39,6264979.083857649
40,6269497.712582736
41,6295846.750797191
42,6541553.068513518
43,6601981.420539308
44,6582608.069082853
45,6582608.069082853
46,6592801.81590782
47,6516057.367842912
48,6523054.600408308
49,6423998.388041622
50,6423998.388041622
51,6423998.388041622
52,6423998.388041622
53,6423998.388041622
54,6423998.388041622
55,6452158.2143540755
56,6451228.976881283
57,6451228.976881283
58,6405125.282381612
59,6397221.930486778
60,6455671.018699106
61,6480499.026383353
62,6450380.443164788
63,6587305.836699617
64,6704827.131984761
65,6853918.94350688
66,6976086.403495725
67,7038629.622416866
68,6990705.370431535
69,7060747.658466687
70,7004544.012744423
71,7037849.219355775
72,7037849.219355775
73,7197994.69363605
74,7319993.553224642
75,7319993.553224642
76,7191114.622303743
77,7191114.622303743
78,7191114.622303743
79,7191114.622303743
80,7191114.622303743
81,7191114.622303743
82,7191114.622303743
83,7191114.622303743
84,7025758.119499613
85,6939607.626817227
86,6996350.559308407
87,6958896.152921965
88,7060148.019330887
89,7073868.685824558
90,7124333.903314165
91,7150692.913481441
92,7257740.261822512
93,7426294.39217343
94,7331446.623053028
95,7372138.554790826
96,7256909.167378611
97,7289259.109476172
98,7381865.06581318
99,7227787.306372169
100,7261183.419519594
101,7346683.553162283
102,7357889.058819086
103,7357889.058819086
104,7357889.058819086
105,7296142.639894966
106,7146852.321507787
107,7116557.367540947
108,7130653.510514098
109,7087692.91892901
110,7130227.79163034
111,7164960.950586913
112,7016531.468935811
113,7083909.336383557
114,7070436.906114943
115,7109627.19472669
116,7146550.833846244
117,6925814.144604999
118,6850799.020997582
119,6731251.036804207
120,6658798.170552628
121,6624075.062302191
122,6624075.062302191
123,6624075.062302191
124,6710271.147495633
125,6574091.83932131
126,6561259.936175034
127,6425569.145551642
128,6311041.670348986
129,6421754.125183248
130,6445687.056710663
131,6413503.598558743
132,6413503.598558743
133,6413503.598558743
134,6512588.424563376
135,6349218.192824395
136,6349218.192824395
137,6265938.484005583
138,6265938.484005583
139,6265938.484005583
140,6265938.484005583
141,6265938.484005583
142,6211570.74100542
143,6184276.782797102
144,6242075.84048263
145,5962773.145315539
146,5982423.749070246
147,6007190.042490555
148,5874941.918510625
149,5874941.918510625
150,5874941.918510625
151,5874941.918510625
152,5874941.918510625
153,5874941.918510625
154,5874941.918510625
155,5874941.918510625
156,5914855.649278436
157,5863427.3866599165
158,5863427.3866599165
159,5863427.3866599165
160,5863427.3866599165
161,5772493.617458709
162,5672165.50843692
163,5675427.970817071
164,5675427.970817071
165,5686869.1710608555
166,5686869.1710608555
167,5686869.1710608555
168,5686869.1710608555
169,5739342.267661873
170,5739342.267661873
171,5841195.568623449
172,5841195.568623449
173,5841195.568623449
174,5841195.568623449
175,5841195.568623449
176,5714589.188985044
177,5586566.066185102
178,5586566.066185102
179,5586566.066185102
180,5586566.066185102
181,5443122.116612583
182,5443122.116612583
183,5443122.116612583
184,5443122.116612583
185,5580730.956689414
186,5515562.776054006
187,5462201.846211085
188,5462201.846211085
189,5462201.846211085
190,5462201.846211085
191,5462201.846211085
192,5444503.005482787
193,5361355.004144964
194,5350036.493151888
195,5399928.85355262
196,5243768.621327471
197,5316465.7718958
198,5302451.661207982
199,5333391.324141794
200,5498732.306406644
