,0
0,-8.2000246e-05
1,4.0839375e-05
2,9.2041206e-05
3,1.5269661e-05
4,1.2317196e-06
5,-1.1561616e-05
6,-1.8818317e-05
7,-2.4544863e-05
8,-2.8840963e-05
9,-3.2332642e-05
10,-3.5203717e-05
11,-3.763053e-05
12,-3.9715498e-05
13,-7.223941e-05
14,-5.5930654e-05
15,-5.6069697e-05
16,-5.5123528e-05
17,-5.5305296e-05
18,-8.6225125e-05
19,-6.8688045e-05
20,-6.780427e-05
21,-6.600688e-05
22,-6.546224e-05
23,-6.504782e-05
24,-9.558308e-05
25,-7.759495e-05
26,-7.631168e-05
27,-7.413582e-05
28,-4.2537056e-05
29,-9.042084e-05
30,-7.333005e-05
31,-7.392217e-05
32,-0.00010313211
33,-8.491134e-05
34,-8.324621e-05
35,-8.0824146e-05
36,-7.9694844e-05
37,-7.875613e-05
38,-0.0001088071
39,-9.0374044e-05
40,-8.867839e-05
41,-8.611796e-05
42,-8.4872e-05
43,-8.3805775e-05
44,-8.302645e-05
45,-8.23855e-05
46,-0.00011257213
47,-9.422316e-05
48,-9.256414e-05
49,-9.001795e-05
50,-8.876453e-05
51,-8.7678636e-05
52,-8.6873544e-05
53,-8.619867e-05
54,-0.000116348674
55,-9.796037e-05
56,-9.626066e-05
57,-9.367173e-05
58,-9.237694e-05
59,-9.124899e-05
60,-9.039913e-05
61,-8.968289e-05
62,-8.908127e-05
63,-8.856037e-05
64,-0.000118814154
65,-0.00010050181
66,-9.8856355e-05
67,-9.6306096e-05
68,-9.5037074e-05
69,-9.392541e-05
70,-9.3088434e-05
71,-9.237626e-05
72,-9.177668e-05
73,-9.125307e-05
74,-9.079117e-05
75,-9.03815e-05
76,-9.001049e-05
77,-8.9674075e-05
78,-8.9366826e-05
79,-0.000119793556
80,-0.00010162298
81,-0.000100096215
82,-9.764634e-05
83,-9.64621e-05
84,-9.542436e-05
85,-9.4647075e-05
86,-9.3990515e-05
87,-9.343571e-05
88,-9.295143e-05
89,-9.25248e-05
90,-9.2143615e-05
91,-9.179907e-05
92,-9.148367e-05
93,-9.119609e-05
94,-9.092886e-05
95,-9.068197e-05
96,-9.045136e-05
97,-9.023635e-05
98,-9.003152e-05
99,-8.9842964e-05
100,-8.966119e-05
101,-8.949162e-05
102,-8.932952e-05
103,-8.917623e-05
104,-8.902973e-05
105,-8.889e-05
106,-8.8757064e-05
107,-8.862955e-05
108,-8.850679e-05
109,-8.8389446e-05
110,-8.827754e-05
111,-8.816902e-05
112,-8.806592e-05
113,-8.7965534e-05
114,-8.786923e-05
115,-8.77763e-05
116,-8.768542e-05
117,-8.759928e-05
118,-8.7515175e-05
119,-8.7433786e-05
120,-8.735578e-05
121,-8.7278466e-05
122,-8.720589e-05
123,-8.713332e-05
124,-8.706414e-05
125,-8.6996304e-05
126,-8.6930515e-05
127,-8.686744e-05
128,-8.680436e-05
129,-8.6743996e-05
130,-8.6685664e-05
131,-8.662733e-05
132,-8.6571716e-05
133,-8.651745e-05
134,-8.6464555e-05
135,-8.641232e-05
136,-8.636213e-05
137,-8.6313295e-05
138,-8.626447e-05
139,-8.621698e-05
140,-8.6171545e-05
141,-0.00011683499
142,-9.888349e-05
143,-9.7556134e-05
144,-9.528871e-05
145,-9.4274714e-05
146,-9.339298e-05
147,-9.276219e-05
148,-9.224061e-05
149,-9.181263e-05
150,-9.144772e-05
151,-9.113233e-05
152,-9.085561e-05
153,-9.0608046e-05
154,-9.038557e-05
155,-9.018413e-05
156,-8.999896e-05
157,-8.983008e-05
158,-8.967204e-05
159,-8.952622e-05
160,-8.938921e-05
161,-8.926101e-05
162,-8.9139605e-05
163,-8.902566e-05
164,-8.891781e-05
165,-8.8813365e-05
166,-8.871705e-05
167,-8.862413e-05
168,-8.85346e-05
169,-8.844846e-05
170,-8.836639e-05
171,-8.828704e-05
172,-8.821107e-05
173,-8.81385e-05
174,-8.8068635e-05
175,-8.799877e-05
176,-8.793434e-05
177,-8.78699e-05
178,-8.780818e-05
179,-8.77485e-05
180,-8.7689485e-05
181,-8.763387e-05
182,-8.757826e-05
183,-8.752467e-05
184,-8.747244e-05
185,-8.742225e-05
186,-8.7372064e-05
187,-8.7325265e-05
188,-8.7278466e-05
189,-8.723166e-05
190,-8.71869e-05
191,-8.714281e-05
192,-8.710008e-05
193,-8.705871e-05
194,-8.701733e-05
